# pytorch linear classifier ReLU CrossEntropyLoss SGD:
#  batch=64,lr=1e-02,momentum=0.9,epoch=32
# train_loss, train_acc, val_loss, val_acc
0.72384556 0.45606259 0.72691911 0.45026616
0.44647281 0.77340143 0.40873846 0.80806578
0.40065057 0.81272442 0.39756493 0.81474578
0.39327892 0.81720014 0.39260023 0.81816220
0.38898913 0.81893516 0.38971520 0.81897823
0.38641657 0.81999257 0.38750935 0.82049276
0.38474022 0.82174486 0.38600112 0.82130789
0.38327002 0.82223690 0.38492196 0.82243384
0.38254642 0.82328568 0.38413383 0.82305559
0.38209378 0.82413593 0.38330000 0.82274458
0.37988724 0.82466680 0.38259634 0.82441447
0.38007741 0.82499481 0.38228116 0.82332779
0.37914862 0.82515882 0.38150635 0.82557934
0.37998517 0.82573717 0.38147320 0.82538533
0.37845978 0.82607380 0.38082649 0.82511377
0.37763163 0.82639752 0.38039484 0.82488050
0.37753014 0.82666942 0.38078107 0.82658929
0.37711424 0.82671690 0.38016118 0.82616173
0.37708061 0.82700607 0.38013229 0.82647265
0.37749177 0.82709669 0.37979974 0.82542423
0.37745087 0.82756715 0.37948417 0.82530768
0.37743285 0.82739450 0.37964177 0.82554079
0.37693634 0.82745492 0.37964007 0.82639500
0.37635821 0.82753690 0.37949247 0.82732642
0.37609045 0.82818864 0.38002339 0.82604573
0.37674673 0.82792538 0.37933339 0.82752124
0.37672559 0.82809370 0.37896931 0.82697749
0.37555886 0.82782182 0.37872576 0.82759824
0.37609153 0.82827498 0.37896694 0.82752107
0.37550648 0.82817141 0.37894093 0.82713268
0.37528127 0.82848213 0.37878154 0.82693859
0.37574288 0.82829658 0.37890670 0.82701650
0.37517659 0.82821022 0.37946431 0.82658920
