# pytorch linear classifier ReLU CrossEntropyLoss SGD:
#  batch=64,lr=1e-02,momentum=0.9,epoch=32
# train_loss, train_acc, val_loss, val_acc
0.03650281 0.08758576 0.03671322 0.08699044
0.00271947 0.00307208 0.00991287 0.00625073
0.00203625 0.00076211 0.01163455 0.00354159
0.00168882 0.00094615 0.01171599 0.00576646
0.00159684 0.00067075 0.01277765 0.00480750
0.00151137 0.00048170 0.01295647 0.00475302
0.00199169 0.00071351 0.01296658 0.00487577
0.00170431 0.00074516 0.01320229 0.00514692
0.00204922 0.00090039 0.01296778 0.00506086
0.00321216 0.00079437 0.01330599 0.00423026
0.00148818 0.00106419 0.01310325 0.00492908
0.00170983 0.00068211 0.01347988 0.00519079
0.00145518 0.00055059 0.01383709 0.00488274
0.00302597 0.00063947 0.01340144 0.00479745
0.00166793 0.00103496 0.01356193 0.00514079
0.00144259 0.00043164 0.01398070 0.00607972
0.00187224 0.00071092 0.01412336 0.00574101
0.00151568 0.00096913 0.01392897 0.00556299
0.00181334 0.00077854 0.01427611 0.00629228
0.00225420 0.00072154 0.01413439 0.00484484
0.00217491 0.00072730 0.01408051 0.00582509
0.00183356 0.00063548 0.01402496 0.00546207
0.00225110 0.00100510 0.01450830 0.00560254
0.00140005 0.00075070 0.01432011 0.00633822
0.00187795 0.00081354 0.01452740 0.00600879
0.00259992 0.00088433 0.01428364 0.00629423
0.00237865 0.00088338 0.01417671 0.00540589
0.00139260 0.00067723 0.01445088 0.00620993
0.00219626 0.00077693 0.01443944 0.00616640
0.00176898 0.00080709 0.01463120 0.00570986
0.00169570 0.00070365 0.01467273 0.00591397
0.00176347 0.00071937 0.01428241 0.00596516
0.00156380 0.00102851 0.01424808 0.00522451
