# pytorch neural network ReLU CrossEntropyLoss Adam:
#  unit=[40],batch=64,lr=1e-03,betas=(0.9, 0.999),eps=1e-08,decay=0.0,amsgrad=False,epoch=128
# train_loss, train_acc, val_loss, val_acc
0.70120310 0.49993109 0.70190264 0.49491139
0.45121238 0.76849389 0.38562102 0.82041539
0.37568218 0.82621619 0.37147651 0.82864801
0.36604841 0.83154647 0.36570800 0.83225971
0.35887042 0.83470148 0.36187141 0.83311347
0.35574653 0.83664370 0.35870313 0.83466637
0.35117884 0.83903910 0.35657294 0.83691918
0.34794682 0.84120573 0.35438051 0.83823842
0.34492973 0.84388596 0.35151561 0.84052916
0.34083512 0.84657049 0.34986237 0.84235324
0.33787590 0.84916880 0.34748619 0.84487808
0.33461031 0.85154690 0.34486070 0.84650923
0.33044173 0.85382143 0.34236136 0.84825613
0.32666071 0.85658366 0.34033055 0.84926571
0.32264522 0.85882367 0.33881628 0.85046958
0.31949374 0.86128380 0.33632745 0.85244976
0.31532564 0.86330799 0.33406895 0.85252712
0.31179973 0.86525452 0.33186442 0.85427420
0.30879230 0.86664428 0.33091921 0.85497332
0.30550757 0.86883674 0.32872137 0.85582872
0.30217454 0.87091707 0.32718102 0.85695531
0.29946543 0.87252259 0.32592896 0.85633357
0.29650301 0.87399005 0.32507494 0.85897467
0.29354010 0.87593657 0.32384935 0.85932305
0.29135566 0.87740828 0.32273500 0.85893494
0.28863777 0.87849155 0.32357167 0.85978943
0.28614835 0.87992020 0.32197111 0.86025537
0.28460805 0.88056757 0.32222274 0.86013954
0.28263328 0.88209544 0.32157414 0.86017854
0.28041049 0.88282486 0.32105555 0.86099313
0.27855911 0.88388658 0.31962732 0.86223636
0.27621809 0.88465482 0.32003650 0.86297257
0.27511174 0.88555258 0.32024353 0.86281828
0.27325681 0.88645457 0.31953396 0.86254628
0.27101398 0.88704587 0.31993366 0.86409989
0.26967112 0.88808177 0.31959840 0.86270138
0.26883504 0.88910894 0.31895978 0.86421617
0.26677781 0.88963551 0.31946543 0.86176988
0.26636047 0.89001529 0.31957385 0.86363442
0.26494564 0.89081377 0.32067869 0.86374934
0.26361769 0.89131872 0.32024230 0.86355578
0.26226600 0.89200069 0.31945174 0.86402171
0.26017448 0.89234592 0.31940192 0.86433316
0.25875031 0.89369689 0.31951708 0.86347914
0.25811936 0.89397309 0.31911454 0.86510930
0.25702268 0.89460751 0.32025455 0.86483702
0.25599491 0.89499596 0.32025428 0.86417681
0.25462923 0.89563478 0.32107307 0.86425499
0.25432021 0.89643751 0.32077792 0.86475955
0.25231691 0.89674829 0.32039237 0.86534231
0.25117215 0.89714533 0.32339153 0.86359423
0.25084642 0.89742158 0.32210885 0.86530403
0.24945502 0.89768053 0.32089093 0.86650654
0.24893690 0.89851353 0.32210448 0.86382771
0.24794427 0.89855664 0.32386790 0.86386642
0.24730236 0.89961842 0.32325393 0.86499221
0.24619242 0.89985149 0.32249761 0.86499275
0.24499319 0.90006297 0.32328713 0.86510903
0.24387608 0.90082693 0.32394618 0.86440981
0.24356427 0.90122830 0.32563996 0.86394426
0.24240712 0.90119805 0.32507763 0.86351823
0.24216364 0.90147861 0.32377746 0.86549695
0.24136666 0.90210441 0.32446581 0.86530294
0.24165729 0.90256193 0.32414436 0.86611871
0.24093596 0.90249718 0.32479654 0.86549731
0.23948516 0.90350711 0.32557763 0.86472084
0.23900325 0.90391288 0.32563766 0.86642891
0.23827278 0.90341219 0.32492901 0.86522594
0.23694126 0.90457317 0.32657392 0.86580724
0.23591764 0.90424952 0.32682268 0.86627390
0.23560324 0.90504364 0.32614917 0.86530340
0.23473419 0.90535872 0.32708983 0.86650672
0.23434606 0.90551409 0.32777979 0.86600225
0.23322602 0.90592843 0.32824043 0.86530249
0.23320971 0.90610970 0.32803146 0.86472047
0.23252062 0.90635570 0.32955860 0.86615754
0.23177893 0.90667508 0.32890105 0.86549777
0.23237763 0.90689087 0.32824477 0.86518641
0.23123081 0.90666649 0.32888569 0.86670028
0.22976262 0.90739586 0.32944728 0.86584651
0.22913759 0.90792243 0.32860831 0.86631280
0.22910317 0.90746922 0.32981042 0.86646863
0.22836827 0.90838854 0.33024436 0.86627417
0.22799730 0.90841012 0.33057798 0.86673974
0.22693595 0.90871656 0.33052427 0.86627444
0.22630552 0.90924311 0.33087653 0.86569105
0.22582276 0.90951504 0.33298880 0.86604052
0.22519035 0.90976103 0.33182813 0.86565232
0.22511292 0.91004161 0.33233526 0.86530321
0.22471937 0.90951933 0.33285756 0.86491492
0.22465455 0.90990348 0.33296907 0.86448855
0.22397227 0.91012360 0.33237489 0.86514749
0.22294742 0.91087457 0.33388729 0.86580760
0.22285480 0.91081848 0.33472384 0.86417789
0.22276122 0.91106881 0.33390486 0.86662382
0.22233701 0.91148312 0.33560973 0.86479819
0.22173202 0.91132777 0.33567718 0.86444864
0.22100563 0.91153060 0.33562366 0.86600198
0.22155677 0.91187590 0.33391175 0.86732276
0.22027760 0.91194057 0.33530403 0.86584669
0.21936472 0.91282969 0.33753240 0.86573023
0.21903296 0.91277361 0.33572003 0.86646790
0.21829883 0.91286422 0.33721656 0.86456401
0.21806836 0.91352460 0.33901338 0.86491502
0.21763459 0.91305850 0.33662089 0.86565223
0.21718596 0.91348574 0.33754272 0.86545777
0.21669370 0.91356347 0.33849743 0.86440927
0.21629488 0.91433599 0.33899649 0.86580778
0.21648483 0.91366271 0.34032327 0.86409890
0.21561771 0.91382670 0.33966388 0.86580796
0.21507464 0.91421950 0.34044878 0.86386634
0.21451227 0.91417633 0.34014555 0.86495356
