# pytorch neural network ReLU CrossEntropyLoss Adam:
#  unit=[40],batch=64,lr=1e-03,betas=(0.9, 0.999),eps=1e-08,decay=0.0,amsgrad=False,epoch=64
# train_loss, train_acc, val_loss, val_acc
0.03546261 0.12947324 0.03596196 0.13352276
0.00746200 0.00737041 0.01292124 0.00394292
0.00372109 0.00217271 0.01375120 0.00414245
0.00228609 0.00178026 0.01418293 0.00569136
0.00235012 0.00248072 0.01448312 0.00641240
0.00566088 0.00305797 0.01434265 0.00757215
0.00464887 0.00281281 0.01488993 0.00762529
0.00430836 0.00295852 0.01423408 0.00703920
0.00478949 0.00291710 0.01414504 0.00761717
0.00357559 0.00283744 0.01450486 0.00763823
0.00424247 0.00249629 0.01400512 0.00804327
0.00465731 0.00252076 0.01467257 0.00856579
0.00433751 0.00252619 0.01513572 0.00790559
0.00463428 0.00236435 0.01499511 0.00810723
0.00424596 0.00218955 0.01377820 0.00719699
0.00348200 0.00193092 0.01511777 0.00744257
0.00311801 0.00183904 0.01525166 0.00768130
0.00286976 0.00190052 0.01484007 0.00728050
0.00216741 0.00185815 0.01422762 0.00673548
0.00179108 0.00168915 0.01493214 0.00697727
0.00199630 0.00174361 0.01355168 0.00617320
0.00215048 0.00175282 0.01456424 0.00607738
0.00200985 0.00181209 0.01353958 0.00762266
0.00200899 0.00207382 0.01365207 0.00614691
0.00186997 0.00157627 0.01406759 0.00664037
0.00216353 0.00193292 0.01445285 0.00548897
0.00300845 0.00153627 0.01466085 0.00492150
0.00214291 0.00224150 0.01449229 0.00591139
0.00284875 0.00173386 0.01483709 0.00564484
0.00289193 0.00212802 0.01433688 0.00704982
0.00307406 0.00218010 0.01405475 0.00612323
0.00318227 0.00230468 0.01518541 0.00621742
0.00270887 0.00162705 0.01470775 0.00611692
0.00315622 0.00201507 0.01501828 0.00606129
0.00317384 0.00198063 0.01543232 0.00676779
0.00363070 0.00183633 0.01573884 0.00695577
0.00293639 0.00208867 0.01511845 0.00598426
0.00378845 0.00194963 0.01332787 0.00559471
0.00371122 0.00193722 0.01559558 0.00689002
0.00302461 0.00197670 0.01427301 0.00670467
0.00328743 0.00194183 0.01520593 0.00557763
0.00373496 0.00212539 0.01462545 0.00640800
0.00385781 0.00211610 0.01468507 0.00618432
0.00357465 0.00184307 0.01412602 0.00565053
0.00350210 0.00210017 0.01466768 0.00652970
0.00442976 0.00201772 0.01389408 0.00746661
0.00401718 0.00268154 0.01458185 0.00644325
0.00394449 0.00182631 0.01516867 0.00738818
0.00521226 0.00207495 0.01480753 0.00634591
0.00410263 0.00223384 0.01578975 0.00726446
0.00383695 0.00174563 0.01510287 0.00628605
0.00397399 0.00224589 0.01550565 0.00573593
0.00394698 0.00203896 0.01511560 0.00584421
0.00436670 0.00188935 0.01356640 0.00693134
0.00398180 0.00229638 0.01620308 0.00654325
0.00379435 0.00186794 0.01585308 0.00608991
0.00348502 0.00204642 0.01570090 0.00596639
0.00352614 0.00199538 0.01563889 0.00733441
0.00386118 0.00206177 0.01513607 0.00639292
0.00441412 0.00191150 0.01532273 0.00606878
0.00401269 0.00178217 0.01520657 0.00568253
0.00517262 0.00222021 0.01544671 0.00635969
0.00411529 0.00241563 0.01529097 0.00640809
0.00397836 0.00180716 0.01522703 0.00593420
0.00413502 0.00222441 0.01600656 0.00532616
