# pytorch neural network ReLU CrossEntropyLoss Adam:
#  unit=[80, 20],batch=64,lr=1e-03,betas=(0.9, 0.999),eps=1e-08,decay=0.0,amsgrad=False,epoch=32
# train_loss, train_acc, val_loss, val_acc
0.04085794 0.17539563 0.04036175 0.17457860
0.02116537 0.01464205 0.01388995 0.00735897
0.00430361 0.00203118 0.01303023 0.00664904
0.00472511 0.00274745 0.01472779 0.00687226
0.00537726 0.00328643 0.01358775 0.00674907
0.00655898 0.00457578 0.01337913 0.00699931
0.00720102 0.00412217 0.01415625 0.00667401
0.00727651 0.00394679 0.01259960 0.00750320
0.00792041 0.00436003 0.01452222 0.00637127
0.00785857 0.00498789 0.01349150 0.00562137
0.00716120 0.00364613 0.01451822 0.00619799
0.00767557 0.00396413 0.01236426 0.00551586
0.00748289 0.00380517 0.01062148 0.00591116
0.00739605 0.00368900 0.01178827 0.00719132
0.00673593 0.00386047 0.01416546 0.00619116
0.00617139 0.00337376 0.01132503 0.00608245
0.00606728 0.00273847 0.01568076 0.00721973
0.00577022 0.00279809 0.01500181 0.00579424
0.00575986 0.00273736 0.01342101 0.00734615
0.00544142 0.00260520 0.01455013 0.00701643
0.00465253 0.00214975 0.01211090 0.00616709
0.00495339 0.00275656 0.01550223 0.00667993
0.00463188 0.00281747 0.01362405 0.00654445
0.00380698 0.00181871 0.01456274 0.00692076
0.00384426 0.00239135 0.01091502 0.00521162
0.00325267 0.00116550 0.01433105 0.00748113
0.00424266 0.00140875 0.01231119 0.00519402
0.00435591 0.00234127 0.01737041 0.00893505
0.00334345 0.00180205 0.01761284 0.00754055
0.00365738 0.00186296 0.01671316 0.00774336
0.00318271 0.00163597 0.01504113 0.00618876
0.00232808 0.00134005 0.01483599 0.00572278
0.00212714 0.00128409 0.01410482 0.00552708
