# pytorch neural network ReLU CrossEntropyLoss Adam:
#  unit=[80, 20],batch=64,lr=1e-03,betas=(0.9, 0.999),eps=1e-08,decay=0.0,amsgrad=False,epoch=64
# train_loss, train_acc, val_loss, val_acc
0.67946678 0.56957874 0.68026546 0.56530606
0.44290301 0.77703977 0.37761608 0.82639529
0.36831819 0.83057966 0.36431126 0.83291857
0.35646769 0.83592294 0.35722672 0.83501501
0.35015862 0.83977280 0.35341362 0.83920864
0.34364092 0.84413196 0.34951720 0.84153930
0.33829150 0.84843501 0.34504257 0.84503337
0.33079285 0.85287192 0.34117008 0.84666442
0.32394729 0.85632472 0.33788534 0.85023649
0.31844204 0.86073569 0.33452245 0.85093533
0.31108256 0.86402876 0.33055327 0.85295396
0.30326215 0.86859076 0.33032435 0.85217819
0.29669848 0.87197018 0.32717239 0.85862349
0.29181408 0.87475399 0.32847371 0.85668330
0.28522063 0.87814636 0.32349433 0.85738125
0.27772121 0.88175453 0.32274155 0.86184752
0.27173685 0.88504765 0.32140249 0.86033282
0.26677310 0.88813789 0.32273751 0.86188679
0.25959482 0.89152162 0.32239801 0.86192516
0.25469685 0.89317032 0.31900150 0.86437045
0.24904662 0.89657566 0.32126139 0.86611735
0.24268867 0.89928609 0.32129037 0.86670173
0.23750581 0.90169442 0.32275271 0.86596324
0.23281214 0.90388259 0.32208138 0.86607980
0.22834426 0.90611398 0.32307352 0.86782650
0.22405520 0.90850937 0.32265373 0.86732221
0.21948332 0.91050771 0.32608831 0.86592469
0.21535181 0.91231609 0.32967474 0.86538223
0.21264948 0.91340808 0.32592812 0.86809933
0.20649322 0.91667095 0.32577770 0.86708983
0.20234104 0.91831532 0.33346098 0.86817716
0.19958815 0.91872102 0.33566126 0.86732204
0.19574969 0.92093087 0.33572437 0.86635154
0.19240312 0.92261839 0.33936086 0.86786551
0.18907235 0.92428438 0.34240413 0.86813716
0.18617253 0.92503101 0.34678395 0.86650699
0.18461543 0.92599347 0.35071991 0.86782796
0.18122960 0.92758183 0.35384408 0.86677955
0.17937202 0.92822920 0.35633780 0.86778833
0.17457759 0.93075405 0.35651065 0.86588497
0.17273549 0.93072820 0.36070495 0.86794352
0.16847458 0.93283433 0.36454522 0.86611871
0.16618360 0.93364145 0.36464257 0.86860200
0.16455597 0.93433201 0.37077122 0.86689491
0.16353760 0.93517360 0.37629466 0.86604206
0.16058339 0.93649001 0.37623910 0.86503184
0.15845787 0.93715897 0.38282467 0.86654518
0.15637716 0.93826817 0.38684112 0.86584571
0.15471105 0.93871709 0.38788807 0.86588542
0.15266500 0.93953277 0.39855879 0.86390507
0.15052535 0.94072831 0.39094785 0.86627417
0.14973576 0.94119442 0.39546998 0.86670055
0.14560055 0.94280863 0.39969607 0.86557504
0.14477855 0.94261010 0.40369706 0.86530377
0.14228394 0.94401284 0.40747039 0.86518722
0.14112129 0.94403006 0.41108785 0.86592361
0.13755222 0.94569603 0.42318798 0.86584724
0.13668596 0.94589459 0.41949777 0.86580615
0.13479362 0.94700809 0.42148975 0.86646736
0.13306739 0.94788854 0.42753991 0.86592506
0.13083625 0.94858776 0.43056485 0.86464120
0.13011731 0.94904954 0.43530989 0.86646836
0.12800882 0.94975314 0.43860444 0.86561350
0.12693116 0.95024945 0.44459304 0.86413727
0.12647625 0.95024080 0.45461922 0.86569141
