# pytorch neural network ReLU CrossEntropyLoss Adam:
#  unit=[80, 40, 20],batch=64,lr=1e-03,betas=(0.9, 0.999),eps=1e-08,decay=0.0,amsgrad=False,epoch=64
# train_loss, train_acc, val_loss, val_acc
0.01102422 0.15501552 0.01092722 0.14939488
0.01381013 0.01068165 0.01694251 0.00631960
0.00387531 0.00307151 0.01593961 0.00664579
0.00488552 0.00370652 0.01872913 0.00895502
0.00502993 0.00373724 0.01564015 0.00826026
0.00637320 0.00405527 0.01629705 0.00774404
0.00769568 0.00466593 0.01583225 0.00768269
0.00838719 0.00529402 0.01319101 0.00603151
0.00902143 0.00557932 0.01700773 0.00824898
0.00973479 0.00589251 0.01431391 0.00705214
0.01089865 0.00667293 0.02397172 0.01482174
0.01063704 0.00607956 0.01676714 0.00742087
0.01066002 0.00532312 0.01666405 0.00722807
0.01075204 0.00630288 0.01947075 0.00947653
0.00916519 0.00526705 0.01740086 0.00836843
0.00775921 0.00418648 0.01974230 0.00811203
0.00994218 0.00515573 0.01567552 0.00752415
0.00875324 0.00419215 0.01618304 0.00719099
0.00798359 0.00376299 0.01703501 0.00681737
0.00872226 0.00397474 0.01707705 0.00608665
0.00715009 0.00338719 0.01344335 0.00501369
0.00616309 0.00324318 0.01617926 0.00633921
0.00664990 0.00251985 0.01728255 0.00737140
0.00655344 0.00247950 0.01798930 0.00803917
0.00717636 0.00309550 0.01651162 0.00551819
0.00552003 0.00261081 0.01690839 0.00743160
0.00517104 0.00249681 0.02175228 0.00512914
0.00565236 0.00357366 0.02060146 0.00647782
0.00471588 0.00157659 0.01970761 0.00813462
0.00418099 0.00192432 0.01423831 0.00407467
0.00371560 0.00180974 0.01889183 0.00407118
0.00422777 0.00172689 0.02014507 0.00735768
0.00411550 0.00172721 0.01764902 0.00399240
0.00424703 0.00201453 0.02458714 0.00441112
0.00319783 0.00168156 0.02240345 0.00676149
0.00404737 0.00183312 0.02423527 0.00668737
0.00306949 0.00145907 0.02170991 0.00418212
0.00406956 0.00152309 0.02067858 0.00409870
0.00595543 0.00282164 0.01991084 0.00384403
0.00444164 0.00183085 0.02091397 0.00457683
0.00503932 0.00157638 0.02718008 0.00778868
0.00741409 0.00377339 0.02287522 0.00501324
0.00666932 0.00243524 0.03351408 0.00681996
0.00424650 0.00190093 0.01935430 0.00524144
0.00390917 0.00140317 0.02348019 0.00683859
0.00621265 0.00248217 0.02062670 0.00464497
0.00946789 0.00409163 0.02026704 0.00374113
0.00441891 0.00229820 0.02208055 0.00435915
0.00310574 0.00153464 0.03249933 0.00571581
0.00671614 0.00263500 0.03204692 0.00600049
0.00398775 0.00207160 0.02889526 0.00584694
0.00395249 0.00193261 0.03001908 0.00608528
0.00518218 0.00238245 0.03163802 0.00301040
0.00540587 0.00273785 0.02569081 0.00324396
0.00628218 0.00176857 0.03251934 0.00423806
0.00521538 0.00232954 0.04034050 0.00439832
0.00511241 0.00188857 0.03468404 0.00533657
0.00436367 0.00187533 0.03390163 0.00643295
0.00473820 0.00236493 0.04401099 0.00586339
0.00419077 0.00174471 0.04439955 0.00707221
0.00540487 0.00226701 0.03939417 0.00486373
0.00365419 0.00144874 0.03681598 0.00382250
0.00620861 0.00280894 0.04686507 0.00546478
0.01159794 0.00401583 0.04939463 0.00558145
0.00858225 0.00332440 0.05534653 0.00498007
