# pytorch neural network ReLU CrossEntropyLoss SGD:
#  unit=[40],batch=64,lr=1e-02,momentum=0.9,epoch=128
# train_loss, train_acc, val_loss, val_acc
0.69999605 0.47651168 0.70036995 0.47453329
0.44520923 0.77656503 0.39381009 0.81420239
0.38402849 0.82073063 0.38059084 0.82247320
0.37462169 0.82632847 0.37317587 0.82798617
0.36873541 0.83027761 0.36877720 0.82985043
0.36345192 0.83239244 0.36520893 0.83284029
0.36072935 0.83443822 0.36317123 0.83431671
0.35737010 0.83564665 0.36113950 0.83334659
0.35494964 0.83653581 0.35926201 0.83606352
0.35358160 0.83802916 0.35923747 0.83660746
0.35142043 0.83890095 0.35715691 0.83808396
0.35080799 0.84070070 0.35653005 0.83959776
0.34895440 0.84146467 0.35457665 0.83932528
0.34669563 0.84284148 0.35364066 0.84056798
0.34544477 0.84408014 0.35208269 0.84223786
0.34517310 0.84587129 0.35324609 0.84227633
0.34360798 0.84618632 0.35233813 0.84270353
0.34250927 0.84800341 0.35056626 0.84297482
0.34099673 0.84811990 0.34963940 0.84340219
0.33924914 0.84965208 0.34974367 0.84305345
0.33888094 0.84968225 0.34958970 0.84254815
0.33714166 0.85096416 0.34816982 0.84592593
0.33538415 0.85137417 0.34673645 0.84445116
0.33307575 0.85289773 0.34525911 0.84740145
0.33165404 0.85355803 0.34512722 0.84759619
0.33142648 0.85474066 0.34509667 0.84709171
0.33253631 0.85431764 0.34319410 0.84728572
0.32852895 0.85536646 0.34250351 0.84771273
0.32662254 0.85655768 0.34223060 0.84891725
0.32509216 0.85764101 0.34046229 0.84864641
0.32462419 0.85819776 0.34009147 0.84891661
0.32372122 0.85828841 0.34128818 0.84907252
0.32185654 0.85919044 0.33953916 0.85015848
0.32189055 0.86017448 0.33841419 0.85081923
0.32110316 0.85971696 0.34072541 0.85000465
0.31993397 0.86043777 0.34012578 0.84996664
0.31912267 0.86091682 0.33815257 0.85147999
0.31720951 0.86224620 0.33670637 0.85128462
0.31659852 0.86243179 0.33630439 0.85237330
0.31635995 0.86291950 0.34097171 0.85070341
0.31463443 0.86297557 0.33613637 0.85214021
0.31289171 0.86446892 0.33535699 0.85404265
0.31168516 0.86486597 0.33412189 0.85388764
0.31081047 0.86570329 0.33790149 0.85299378
0.31140289 0.86559970 0.33576722 0.85221567
0.31045286 0.86553066 0.33414824 0.85163627
0.30856294 0.86672621 0.33203317 0.85652748
0.30743768 0.86785700 0.33183478 0.85369381
0.30683402 0.86815909 0.33182079 0.85462530
0.30503686 0.86893598 0.33194238 0.85594500
0.30448774 0.86921653 0.33393899 0.85381063
0.30443682 0.86909568 0.33114371 0.85598436
0.30431771 0.86921650 0.33315012 0.85489678
0.30344552 0.86979485 0.32895589 0.85843028
0.30184638 0.87051994 0.33189872 0.85489650
0.30208418 0.87123213 0.33438961 0.85528470
0.30126072 0.87080911 0.33142608 0.85680058
0.29927515 0.87241032 0.33101044 0.85609928
0.29843459 0.87286358 0.33048035 0.85699395
0.29784746 0.87233273 0.32820473 0.85823664
0.29800375 0.87298009 0.34829972 0.85167500
0.30034986 0.87295420 0.33025146 0.85858594
0.29656814 0.87393391 0.32969105 0.85722596
0.29651232 0.87326062 0.33408477 0.85602336
0.29655867 0.87373967 0.32662592 0.85858611
0.29391333 0.87549195 0.32988046 0.85866148
0.29429692 0.87475830 0.33001277 0.85796563
0.29292341 0.87565604 0.33183273 0.85777153
0.29265051 0.87553952 0.32952211 0.85936169
0.29191303 0.87655810 0.32984799 0.85850667
0.29206884 0.87577686 0.32776414 0.85889784
0.28993218 0.87701558 0.32740236 0.86072075
0.28853820 0.87796509 0.32784676 0.85885758
0.28837722 0.87814636 0.32698116 0.86087747
0.28780073 0.87821975 0.32497469 0.86165307
0.28660315 0.87891032 0.32535439 0.86173052
0.28500300 0.87959223 0.32934240 0.85897295
0.28611538 0.87994617 0.33339409 0.85858728
0.28871896 0.87813338 0.32487097 0.86060556
0.28502587 0.87915195 0.32774801 0.85963479
0.28438343 0.88016626 0.32893570 0.85982752
0.28340928 0.88036910 0.32907929 0.85905185
0.28417827 0.88043817 0.33057322 0.85714951
0.28257842 0.88129704 0.32623907 0.85963352
0.28229232 0.88192717 0.33187706 0.85924623
0.28291580 0.88127112 0.32519099 0.86114731
0.28034293 0.88276450 0.33007346 0.85967334
0.28294230 0.88190989 0.32727766 0.85982770
0.28006677 0.88271272 0.32936683 0.86130377
0.28291807 0.88135745 0.33140768 0.86006009
0.28007376 0.88250121 0.32670956 0.86312740
0.27901413 0.88373993 0.32454001 0.86227336
0.27937943 0.88321334 0.33410983 0.85680075
0.28006887 0.88336438 0.33731853 0.85707330
0.28058778 0.88301480 0.32813066 0.86079884
0.27723366 0.88383487 0.32641142 0.86390479
0.27757378 0.88474549 0.32437206 0.86448773
0.27482949 0.88554399 0.32449636 0.86440972
0.27396278 0.88591515 0.32677171 0.86378888
0.27578382 0.88536273 0.32902145 0.86060456
0.27611236 0.88497424 0.32987690 0.86126460
0.27931277 0.88533677 0.32953044 0.86099330
0.27458238 0.88613955 0.32766473 0.86204109
0.27336632 0.88647624 0.33018455 0.86165370
0.27457617 0.88597982 0.32988473 0.86242992
0.27225170 0.88667476 0.32464621 0.86390335
0.27081247 0.88726610 0.37961239 0.85128743
0.28347032 0.88511227 0.32525644 0.86235101
0.26958820 0.88872920 0.32739733 0.86095167
0.27049450 0.88815945 0.32676303 0.86184562
0.26935746 0.88856956 0.32639407 0.86308939
0.26854915 0.88920824 0.33545020 0.86009890
0.27099059 0.88832779 0.45811215 0.84612529
0.30333191 0.88489645 0.33070641 0.86138304
0.26860161 0.88926873 0.33168793 0.86204081
0.26929199 0.88842702 0.33077646 0.86145760
