# pytorch neural network ReLU CrossEntropyLoss SGD:
#  unit=[40],batch=64,lr=1e-02,momentum=0.9,epoch=128
# train_loss, train_acc, val_loss, val_acc
0.02225387 0.11506799 0.02239277 0.11341924
0.00775056 0.00557704 0.01330291 0.00547668
0.00188230 0.00109707 0.01289070 0.00457357
0.00224986 0.00060393 0.01400735 0.00606110
0.00205357 0.00082618 0.01353222 0.00674344
0.00144732 0.00058389 0.01455907 0.00690003
0.00114317 0.00106308 0.01423458 0.00621555
0.00131179 0.00081443 0.01428965 0.00757948
0.00171351 0.00092910 0.01319986 0.00678646
0.00205123 0.00127806 0.01359284 0.00528980
0.00196431 0.00126149 0.01494821 0.00741594
0.00267813 0.00166491 0.01369176 0.00596061
0.00233913 0.00142558 0.01305829 0.00651275
0.00226323 0.00130793 0.01232020 0.00557680
0.00236126 0.00152003 0.01356903 0.00613079
0.00420789 0.00165704 0.01394734 0.00667385
0.00371862 0.00180016 0.01313052 0.00563237
0.00382368 0.00178893 0.01336372 0.00565464
0.00310225 0.00204726 0.01246918 0.00566251
0.00373639 0.00167186 0.01416351 0.00616739
0.00336828 0.00186253 0.01277286 0.00594576
0.00434197 0.00169720 0.01184668 0.00417714
0.00501422 0.00311776 0.01312116 0.00602124
0.00253583 0.00172176 0.01258703 0.00525674
0.00297942 0.00206044 0.01358497 0.00554441
0.00332629 0.00186602 0.01387523 0.00574597
0.00539099 0.00312226 0.01236877 0.00651220
0.00318644 0.00213917 0.01316141 0.00532791
0.00336781 0.00244603 0.01406072 0.00613422
0.00295964 0.00205501 0.01340137 0.00562466
0.00304614 0.00253038 0.01238022 0.00515803
0.00326921 0.00241218 0.01346771 0.00527845
0.00345329 0.00275129 0.01294851 0.00456804
0.00229645 0.00258272 0.01281000 0.00440902
0.00242540 0.00169175 0.01375476 0.00521752
0.00276613 0.00248995 0.01335715 0.00702999
0.00245591 0.00175862 0.01385121 0.00598891
0.00279658 0.00220663 0.01396931 0.00739785
0.00352341 0.00161585 0.01226416 0.00543014
0.00450403 0.00326634 0.01335432 0.00659252
0.00272650 0.00244485 0.01330275 0.00676067
0.00269739 0.00192379 0.01264870 0.00499508
0.00203229 0.00223019 0.01397564 0.00572268
0.00297458 0.00242583 0.01349750 0.00667236
0.00394271 0.00301664 0.01659652 0.00728081
0.00395900 0.00240470 0.01182470 0.00565864
0.00334964 0.00281199 0.01517284 0.00696542
0.00287015 0.00193011 0.01376790 0.00903833
0.00258369 0.00220532 0.01396595 0.00541121
0.00232519 0.00170585 0.01712700 0.00695927
0.00220501 0.00197166 0.01519735 0.00754525
0.00244176 0.00222387 0.01161494 0.00674490
0.00203700 0.00211374 0.01232946 0.00696486
0.00187206 0.00112575 0.01433582 0.00692257
0.00273355 0.00257576 0.01453769 0.00796337
0.00348922 0.00155977 0.02000837 0.00844084
0.00520888 0.00267487 0.01333501 0.00853285
0.00120681 0.00173372 0.01602588 0.00846252
0.00169687 0.00133470 0.01292382 0.00751094
0.00205125 0.00188326 0.01433430 0.00702368
0.00341579 0.00168135 0.05236676 0.02207062
0.01179063 0.00275517 0.01908874 0.00861360
0.00174077 0.00151298 0.01694035 0.00844033
0.00316984 0.00184743 0.01772586 0.00907460
0.00627618 0.00318960 0.01382389 0.00621381
0.00275092 0.00193866 0.01211794 0.00628064
0.00506061 0.00303917 0.01448485 0.00969463
0.00347337 0.00181335 0.01983749 0.00860924
0.00257387 0.00210281 0.01542546 0.00525463
0.00346505 0.00188977 0.01984626 0.00977943
0.00376282 0.00238192 0.01525656 0.00808940
0.00267838 0.00180047 0.01362708 0.00700038
0.00185073 0.00137601 0.01318826 0.00554598
0.00257120 0.00125161 0.01545746 0.00767135
