# pytorch neural network ReLU CrossEntropyLoss SGD:
#  unit=[60, 20],batch=64,lr=1e-02,momentum=0.9,epoch=128
# train_loss, train_acc, val_loss, val_acc
0.02154200 0.16700856 0.02192098 0.17161860
0.00941715 0.00713351 0.01158450 0.00560148
0.00295795 0.00107632 0.01294668 0.00476598
0.00292968 0.00152872 0.01482107 0.00605409
0.00255515 0.00097568 0.01249008 0.00676058
0.00302774 0.00177558 0.01229978 0.00845048
0.00317969 0.00254209 0.01427935 0.00739951
0.00258535 0.00225471 0.01296372 0.00603735
0.00266314 0.00228595 0.01508973 0.00610337
0.00248836 0.00227468 0.01364299 0.00640364
0.00245919 0.00266953 0.01529196 0.00728340
0.00281462 0.00233637 0.01231736 0.00574725
0.00318438 0.00283952 0.01537642 0.00810121
0.00255479 0.00173609 0.01559983 0.00600937
0.00332672 0.00202356 0.01423473 0.00748421
0.00323217 0.00232786 0.01456485 0.00782088
0.00375782 0.00254947 0.01319222 0.00611518
0.00578824 0.00347142 0.01510820 0.00637288
0.00582354 0.00410115 0.02529667 0.01190545
0.00702141 0.00418303 0.01600289 0.00706071
0.00503265 0.00279308 0.01266841 0.00577762
0.00543742 0.00352716 0.01439280 0.00763734
0.00452031 0.00309237 0.01786182 0.01012117
0.01708487 0.00597832 0.02449392 0.01306376
0.00752364 0.00513158 0.02062601 0.00880382
0.00751344 0.00495978 0.01405381 0.00574297
0.00431067 0.00333506 0.01661142 0.00790478
0.00602373 0.00416553 0.01565895 0.00851852
0.00328585 0.00307833 0.01713461 0.00860553
0.00343349 0.00259110 0.01661737 0.00605073
0.00465325 0.00265835 0.03241658 0.01730732
0.00846783 0.00422327 0.01763351 0.00808314
0.00568826 0.00330732 0.02433771 0.01461966
0.00788508 0.00504187 0.01606531 0.00746257
0.00524234 0.00345514 0.01881538 0.00812049
0.00268921 0.00271886 0.01732578 0.00698961
0.00379524 0.00234382 0.01664837 0.00670337
0.00343600 0.00227179 0.01793601 0.00547814
0.00395977 0.00219174 0.03657047 0.01848952
0.02120828 0.01001553 0.03826179 0.02277542
0.02236244 0.01246758 0.01672831 0.00719418
0.00838267 0.00435342 0.01619721 0.00677318
0.00935842 0.00514414 0.02090865 0.01119315
0.00683611 0.00365499 0.01844800 0.00876222
0.00707849 0.00408224 0.04948040 0.02582878
0.01941020 0.01019416 0.01787752 0.00663374
0.00851253 0.00438224 0.04338029 0.01628352
0.02966242 0.01480647 0.02948577 0.01157207
0.01707606 0.00918535 0.02193651 0.00819347
0.00756213 0.00386357 0.01924991 0.00928422
0.00579597 0.00240920 0.01535644 0.00636636
0.00656099 0.00385463 0.01762270 0.00773636
0.00688968 0.00296605 0.13915623 0.02701145
0.02374055 0.00812582 0.01689595 0.00885704
0.00580539 0.00246221 0.02626397 0.01291806
0.01554947 0.00841483 0.01598770 0.00562601
0.00715250 0.00356106 0.02651469 0.01331757
0.02138845 0.01100530 0.02883338 0.01316207
0.01202482 0.00592172 0.01701072 0.00723615
0.00756284 0.00440217 0.01584848 0.00743951
0.00768603 0.00407851 0.01795025 0.00968554
0.00931115 0.00522628 0.02037769 0.00789432
0.00533012 0.00276868 0.02220878 0.01181608
0.00559510 0.00332701 0.01775794 0.00837484
0.00739266 0.00276357 0.01580915 0.00689554
0.00575917 0.00277169 0.02456530 0.00894943
0.01598024 0.00855697 0.02198812 0.00610173
0.00876654 0.00466890 0.01957965 0.00765035
0.00722435 0.00375746 0.02295429 0.00884911
0.01135778 0.00492687 0.01656075 0.00838069
0.00694714 0.00353517 0.02139571 0.00539934
0.00479037 0.00255486 0.02053202 0.00748668
0.00517718 0.00306476 0.03602106 0.00869993
0.02510068 0.01195801 0.01684024 0.00792399
0.01069594 0.00511690 0.01941794 0.00876871
0.00852360 0.00410212 0.01829985 0.00622953
0.00997998 0.00427499 0.01460208 0.00504847
0.00602977 0.00244398 0.01947399 0.00694474
0.00961160 0.00493694 0.03027681 0.00872404
0.00719435 0.00291337 0.01991766 0.00700526
0.01052279 0.00502421 0.03745914 0.01355341
0.02731691 0.01336332 0.02549623 0.00881403
0.01363041 0.00726295 0.02565156 0.01041660
0.00934562 0.00486323 0.02146635 0.00611506
0.00905057 0.00460412 0.05028023 0.01707527
0.02909657 0.01438291 0.04408729 0.01588208
0.01213935 0.00525351 0.01920157 0.00751305
0.02661387 0.01213561 0.02189799 0.00528433
0.01410259 0.00720693 0.02014339 0.00648359
0.01024489 0.00449367 0.02989419 0.00976898
0.00854484 0.00375955 0.02424727 0.01204826
0.01727828 0.00729456 0.02631300 0.00841747
0.00996448 0.00469213 0.01557450 0.00604810
0.00531348 0.00275474 0.02074111 0.00762695
0.00587841 0.00241593 0.09472786 0.01961269
0.04431390 0.01774081 0.02214676 0.00944954
0.01452572 0.00718469 0.05351211 0.01625518
0.04123721 0.02094802 0.01883776 0.01007315
0.02366559 0.01185508 0.02251815 0.01020499
0.02880651 0.01595699 0.02118738 0.00859254
0.01588267 0.00781583 0.01606344 0.00694017
0.01827268 0.00920733 0.02652778 0.01233453
0.02023699 0.01029375 0.02252689 0.00730389
0.00913706 0.00557001 0.02573180 0.01035761
0.01862672 0.00986795 0.03254144 0.01022625
0.01627287 0.00678173 0.20335214 0.03069773
0.06323518 0.02797423 0.02387047 0.01364195
0.03083466 0.01675754 0.02833470 0.01581412
0.02887267 0.01447387 0.01985078 0.01078951
0.02278387 0.01193494 0.01649757 0.00914353
0.02135272 0.01058695 0.02169017 0.00863504
0.02089714 0.01047237 0.02170466 0.01147804
0.01835822 0.00962947 0.02847279 0.01088543
0.01700197 0.00855839 0.03515812 0.01432118
0.02795390 0.01285884 0.02444794 0.00979816
0.01502434 0.00762825 0.02150581 0.01112898
0.02020905 0.00905968 0.02442803 0.00977740
0.01539440 0.00773184 0.02248089 0.00856480
0.01791633 0.00766526 0.01808840 0.00721535
0.01300673 0.00668790 0.03015660 0.01111371
0.01905288 0.00898040 0.02257492 0.00746094
0.01163638 0.00583245 0.01865079 0.00758852
0.01377662 0.00606406 0.03496139 0.00874837
0.02641467 0.00908053 0.03198023 0.01072513
0.01660097 0.00630765 0.01535083 0.00682781
0.01097633 0.00483844 0.09221444 0.03559160
0.04956534 0.02510717 0.04000889 0.01538476
0.04337084 0.01803675 0.03103455 0.01555587
0.04844987 0.02312215 0.01874017 0.01225278
