# pytorch neural network ReLU CrossEntropyLoss SGD:
#  unit=[80, 20],batch=64,lr=1e-02,momentum=0.0,epoch=128
# train_loss, train_acc, val_loss, val_acc
0.70454719 0.43529519 0.70456827 0.43631263
0.58366916 0.70715486 0.53519112 0.71674139
0.50316245 0.71973627 0.47451308 0.73265781
0.45150424 0.76155440 0.43210703 0.78507670
0.41766911 0.79830916 0.40945301 0.80608624
0.40321809 0.81079092 0.40043066 0.81427967
0.39483342 0.81613840 0.39427676 0.81486279
0.38995347 0.81856829 0.39044641 0.81897770
0.38616616 0.82064430 0.38673885 0.82014310
0.38265355 0.82233186 0.38391570 0.82181254
0.38087003 0.82359644 0.38265065 0.82336543
0.37791085 0.82486103 0.37947717 0.82445402
0.37628312 0.82590549 0.37799361 0.82569535
0.37375517 0.82694994 0.37621811 0.82608418
0.37189912 0.82768367 0.37503300 0.82724867
0.37098825 0.82859000 0.37421677 0.82767526
0.36971007 0.82926334 0.37238419 0.82888011
0.36756541 0.82994092 0.37071643 0.82853091
0.36658514 0.83114941 0.37073292 0.82946214
0.36477252 0.83183995 0.36840172 0.82965668
0.36349413 0.83197378 0.36793803 0.82961795
0.36246724 0.83270315 0.36733896 0.83047253
0.36233643 0.83317359 0.36698138 0.83047345
0.36105531 0.83375627 0.36714118 0.83105484
0.35977197 0.83385554 0.36465226 0.83183241
0.35897127 0.83442954 0.36390081 0.83175468
0.35749414 0.83485686 0.36283067 0.83194842
0.35656236 0.83530570 0.36272542 0.83152104
0.35619975 0.83575887 0.36185075 0.83183252
0.35619726 0.83615163 0.36563466 0.83051226
0.35484731 0.83644083 0.36010307 0.83478336
0.35433736 0.83676020 0.36074511 0.83303611
0.35362614 0.83714433 0.35972701 0.83319103
0.35217530 0.83757589 0.35846551 0.83462817
0.35194492 0.83779606 0.35959568 0.83276455
0.35087068 0.83801184 0.35725575 0.83451110
0.35079951 0.83898725 0.35800704 0.83509346
0.34959095 0.83917284 0.35746841 0.83493919
0.35016546 0.83951377 0.35722233 0.83625852
0.34951511 0.84007491 0.35984879 0.83389077
0.34873990 0.84043314 0.35845586 0.83513284
0.34833999 0.84086039 0.35938624 0.83606596
0.34738597 0.84116253 0.35749232 0.83505610
0.34641723 0.84203007 0.35510287 0.83796768
0.34614394 0.84191781 0.35866525 0.83470700
0.34521529 0.84221563 0.35295622 0.83688019
0.34506125 0.84294074 0.35417775 0.83622087
0.34421381 0.84307451 0.35266731 0.83800705
0.34390145 0.84379095 0.35570177 0.83823960
0.34308332 0.84418805 0.35384161 0.83796786
0.34302028 0.84469302 0.35558694 0.83656927
0.34228861 0.84491314 0.35305925 0.83831742
0.34212797 0.84544833 0.35425789 0.83726865
0.34143155 0.84584970 0.35402305 0.83858917
0.34057311 0.84614322 0.35171541 0.83948203
0.34003332 0.84692438 0.35314321 0.83878326
0.33958800 0.84683370 0.34911581 0.84033506
0.34021334 0.84772717 0.35833228 0.83598850
0.33919408 0.84767969 0.35369004 0.83839533
0.33833037 0.84817173 0.34849876 0.84122855
0.33775852 0.84856448 0.34927284 0.84095673
0.33723049 0.84917306 0.35009925 0.84126818
0.33680114 0.84950107 0.35310833 0.84018160
0.33676648 0.85001895 0.35099638 0.83998713
0.33544442 0.85025637 0.34797780 0.84219950
0.33535985 0.85053259 0.36695782 0.83606605
0.33515429 0.85057142 0.35350520 0.84049214
0.33453678 0.85119293 0.34904796 0.84150093
0.33468329 0.85143030 0.35745659 0.83730928
0.33354708 0.85176263 0.35184484 0.84060853
0.33484076 0.85218130 0.36786799 0.83451362
0.33319003 0.85197409 0.34722556 0.84146120
0.33253716 0.85258268 0.35207769 0.84107400
0.33134156 0.85302722 0.34534887 0.84483970
0.33109262 0.85353221 0.34898066 0.84359784
0.33032956 0.85344155 0.34739561 0.84188913
0.32988818 0.85361422 0.34710466 0.84254941
0.32956002 0.85409762 0.34742047 0.84247088
0.33004675 0.85465006 0.35844776 0.83529010
0.32908792 0.85461551 0.35014831 0.84196658
0.32852583 0.85479248 0.35128348 0.84029806
0.32764837 0.85519388 0.34588639 0.84449050
0.32685512 0.85599662 0.34413187 0.84491761
0.32621367 0.85614339 0.34347573 0.84740236
0.32576784 0.85636351 0.34358273 0.84511172
0.32580864 0.85659226 0.34865968 0.84146292
0.32507184 0.85686848 0.34681488 0.84561673
0.32427950 0.85733028 0.34222090 0.84806294
0.32349182 0.85785254 0.34346019 0.84627612
0.32302623 0.85776188 0.34279206 0.84709207
0.32344084 0.85840065 0.34866811 0.84189011
0.32210249 0.85823665 0.33966844 0.84864451
0.32212830 0.85875886 0.34718219 0.84150273
0.32152410 0.85900920 0.35254247 0.84639395
0.32114606 0.85941492 0.34916086 0.84588847
0.32063291 0.86018748 0.34979198 0.84491789
0.32024485 0.86040326 0.34392811 0.84802437
0.32110693 0.86027378 0.38564880 0.82380033
0.32007301 0.86047231 0.35283303 0.84029959
0.31959523 0.86091686 0.35121725 0.84390921
0.31765234 0.86106359 0.33749445 0.85074214
0.31788813 0.86179301 0.35970534 0.83831679
0.31743364 0.86165490 0.35189354 0.84231867
0.31671109 0.86213399 0.35657697 0.83948283
0.31578450 0.86238434 0.34221702 0.84868505
0.31570542 0.86303601 0.35143471 0.83971630
0.31553850 0.86278998 0.36122832 0.83696163
0.31448120 0.86295401 0.34145002 0.84829621
0.31382187 0.86382586 0.35390784 0.84825795
0.31425819 0.86348055 0.34596339 0.84845141
0.31261348 0.86394671 0.34091744 0.84833540
0.31229086 0.86513792 0.33677274 0.85078140
0.31217772 0.86456388 0.34288505 0.84651095
0.31150526 0.86511632 0.34457686 0.84701616
0.31068605 0.86544434 0.33903117 0.85078141
0.30982659 0.86593638 0.34210029 0.84783093
0.30974990 0.86610039 0.36761885 0.83610731
0.30923808 0.86660103 0.34188890 0.84950089
0.30853657 0.86662263 0.35010548 0.84546273
0.30816918 0.86703265 0.34736690 0.84666641
0.30753742 0.86759806 0.34176305 0.84763727
0.30719770 0.86767141 0.34481126 0.84988882
0.30738291 0.86790447 0.35444109 0.84266842
0.30621764 0.86850439 0.33920132 0.84930581
0.30541984 0.86880220 0.35442881 0.84286315
0.30497152 0.86856050 0.33850641 0.85054803
0.30485752 0.86920793 0.34515450 0.84390921
0.30421206 0.86937622 0.36160511 0.83909681
0.30384367 0.86961790 0.34797526 0.84585138
