# pytorch neural network ReLU CrossEntropyLoss SGD:
#  unit=[80, 40, 20],batch=64,lr=1e-02,momentum=0.0,epoch=128
# train_loss, train_acc, val_loss, val_acc
0.68697557 0.54762021 0.68662357 0.55302305
0.59455176 0.71325353 0.55830721 0.71674139
0.53085894 0.71725017 0.50299553 0.72147742
0.47504416 0.73757893 0.45009938 0.75300940
0.43116506 0.77937452 0.41703203 0.79793252
0.40722504 0.80709208 0.40269012 0.81295899
0.39537126 0.81464942 0.39433771 0.81513335
0.38866627 0.81874533 0.38939066 0.81870523
0.38343880 0.82141691 0.38447376 0.82045321
0.38010999 0.82377344 0.38154595 0.82119169
0.37671257 0.82522791 0.38009103 0.82297741
0.37473303 0.82687665 0.37788365 0.82557952
0.37192966 0.82827072 0.37682642 0.82460876
0.37018211 0.82957845 0.37604901 0.82616219
0.36849815 0.83073945 0.37575386 0.82651137
0.36556708 0.83149474 0.36983697 0.82915204
0.36352219 0.83248743 0.36854594 0.82891902
0.36369770 0.83335928 0.37427479 0.82686203
0.36132813 0.83382971 0.36823455 0.82845337
0.35910879 0.83452028 0.36335860 0.83082211
0.35804777 0.83502955 0.36840041 0.82872538
0.35767737 0.83575895 0.36781459 0.82950286
0.35598275 0.83638911 0.36601977 0.83027917
0.35478125 0.83669122 0.36129549 0.83400578
0.35353502 0.83748103 0.36132687 0.83388951
0.35233658 0.83811118 0.36076879 0.83365641
0.35143977 0.83869817 0.35883909 0.83493782
0.35172030 0.83939734 0.36815165 0.83027990
0.35011517 0.83968648 0.35933884 0.83412325
0.34849664 0.84040295 0.35624699 0.83703455
0.34792332 0.84106762 0.36130434 0.83346303
0.34796752 0.84189631 0.36394634 0.83128912
0.34650977 0.84267318 0.35930694 0.83493847
0.34568197 0.84317814 0.35655894 0.83757839
0.34488111 0.84389461 0.35905009 0.83606478
0.34417769 0.84455493 0.35514064 0.83816006
0.34353542 0.84521960 0.36255728 0.83299856
0.34242762 0.84568572 0.36581931 0.83261063
0.34192965 0.84669999 0.35784883 0.83932629
0.34151662 0.84702802 0.38047542 0.82337160
0.34069975 0.84745958 0.36331763 0.83303556
0.33976924 0.84810702 0.35566864 0.83866643
0.33843030 0.84894863 0.35032430 0.84278180
0.33790328 0.84943206 0.35681732 0.83952139
0.33682555 0.85013551 0.35358632 0.84014250
0.33704848 0.85051537 0.36645616 0.83125239
0.33625995 0.85059301 0.37173784 0.83191269
0.33470644 0.85128354 0.35302797 0.84247188
0.33328368 0.85182742 0.34711612 0.84515017
0.33254730 0.85286754 0.35215125 0.84317046
0.33210252 0.85334662 0.35164337 0.84336337
0.33145994 0.85405878 0.35513002 0.83897818
0.33136295 0.85417528 0.36911924 0.83078772
0.33017598 0.85414076 0.35068317 0.84301654
0.32948901 0.85492629 0.36060592 0.83637716
0.32884935 0.85554350 0.38859832 0.81786034
0.32785261 0.85617360 0.35109835 0.84045333
0.32659036 0.85690304 0.36575503 0.83408579
0.32622403 0.85729144 0.35828416 0.84138610
0.32522233 0.85795180 0.36637749 0.83641371
0.32433217 0.85789571 0.34790088 0.84414086
0.32397659 0.85853449 0.40041976 0.81413436
0.32352124 0.85899193 0.35390420 0.83808505
0.32210363 0.85958328 0.35644288 0.83917128
0.32110866 0.85988969 0.36258833 0.83699990
0.32005150 0.86032562 0.34560392 0.84557883
0.31913072 0.86076586 0.34857107 0.84507489
0.31838958 0.86147367 0.35145314 0.84340220
0.31724988 0.86168947 0.34786111 0.84550145
0.31721910 0.86200023 0.38260086 0.82876837
0.31641731 0.86237570 0.36093615 0.83847497
0.31581626 0.86307492 0.37875391 0.83311872
0.31446968 0.86394674 0.35065853 0.84418213
0.31395407 0.86407620 0.38674717 0.82457781
0.31343606 0.86426612 0.35885125 0.84018386
0.31221450 0.86512502 0.38053345 0.82729422
0.31157907 0.86558682 0.36090653 0.83925273
0.31027133 0.86645002 0.35291890 0.84165775
0.30918899 0.86652769 0.34885359 0.84464651
0.30849099 0.86699815 0.36492785 0.83513646
0.30747743 0.86748587 0.33618621 0.85136308
0.30742729 0.86774917 0.40734203 0.81126278
0.30650721 0.86782682 0.36238311 0.84033370
0.30715074 0.86838793 0.65254718 0.71169125
0.30733484 0.86721390 0.36558057 0.83990967
0.30445235 0.86930722 0.41518233 0.81332131
0.30428131 0.86958344 0.43938260 0.81242801
0.30326018 0.86989851 0.40716569 0.82515740
0.30226757 0.87040779 0.36874065 0.84212512
0.30182604 0.87085668 0.41398550 0.82189852
0.30083302 0.87130117 0.39551140 0.83117656
0.29955949 0.87173280 0.35812433 0.84053187
0.29768161 0.87262189 0.33322959 0.85303432
0.29726849 0.87261757 0.46837251 0.80629284
0.29841161 0.87250536 0.37275425 0.83699754
0.29563665 0.87374837 0.34034488 0.84981101
0.29477567 0.87482306 0.38186200 0.82970403
0.29417581 0.87442599 0.35068577 0.84662722
0.29372364 0.87522874 0.35327036 0.84542254
0.29265401 0.87541001 0.38649038 0.82822906
0.29244632 0.87547908 0.40774701 0.83230052
0.29201784 0.87616963 0.36266397 0.84231786
0.29205703 0.87646747 0.52169333 0.78634177
0.29125116 0.87663578 0.34598969 0.84790864
0.28868036 0.87801262 0.35312142 0.84837685
0.28840047 0.87783131 0.42222961 0.81171874
0.28815880 0.87852619 0.49830925 0.79247359
0.28881101 0.87780540 0.34187912 0.84996737
0.28563784 0.87900959 0.36987924 0.84247450
0.28536602 0.87951891 0.43520569 0.83288699
0.28542693 0.87963974 0.39598438 0.83366366
0.28440197 0.87953184 0.33413360 0.85501395
0.28267643 0.88134457 0.36900823 0.83928665
0.28258723 0.88164670 0.44256699 0.82683020
0.28234886 0.88114166 0.55893730 0.78952473
0.28357947 0.88109848 0.40556376 0.82721259
0.28097000 0.88247102 0.41788118 0.82724189
0.28009816 0.88279040 0.43001434 0.82081364
0.27953650 0.88262643 0.49278070 0.80381045
0.27832104 0.88327379 0.41799961 0.82355970
0.27810749 0.88377014 0.58166437 0.77901091
0.27802751 0.88348530 0.54491222 0.80772419
0.27913041 0.88340322 0.42925312 0.81401853
0.27631184 0.88404633 0.51106854 0.81708639
0.27545463 0.88457723 0.34946756 0.84719494
0.27381944 0.88588497 0.59858701 0.80341708
0.27483663 0.88569937 0.46892713 0.79347919
0.27292891 0.88573390 0.41334104 0.83176258
0.27296707 0.88647193 0.70282542 0.76704767
