# pytorch neural network ReLU CrossEntropyLoss SGD:
#  unit=[80, 40, 20],batch=64,lr=1e-02,momentum=0.9,epoch=128
# train_loss, train_acc, val_loss, val_acc
0.01381053 0.17118871 0.01385190 0.17245248
0.01274958 0.00820132 0.01352836 0.00339488
0.00443000 0.00222508 0.01313150 0.00536104
0.00304579 0.00143373 0.01348876 0.00734809
0.00329446 0.00264886 0.01315148 0.00779329
0.00278823 0.00261851 0.01623101 0.00941379
0.00285784 0.00210094 0.01607430 0.00820228
0.00302576 0.00202923 0.01807553 0.00902448
0.00327137 0.00285487 0.01508171 0.00816653
0.00226023 0.00234633 0.01094113 0.00695825
0.00356639 0.00236237 0.01761312 0.01054589
0.00281660 0.00196871 0.01797333 0.00966311
0.00378829 0.00248496 0.01533455 0.00897044
0.00315327 0.00229764 0.01306360 0.00681962
0.00990291 0.00382142 0.04069245 0.02530456
0.00996409 0.00664711 0.01540327 0.00876504
0.00307240 0.00281047 0.01407446 0.00839246
0.00481724 0.00316562 0.01710954 0.00847585
0.01597383 0.01161663 0.02283817 0.01136960
0.00713364 0.00482217 0.01864562 0.00961925
0.00898437 0.00587220 0.01500808 0.00883849
0.00639507 0.00363262 0.01976599 0.01109210
0.00791840 0.00472141 0.01839352 0.01547176
0.00782987 0.00533111 0.02367274 0.01202601
0.00458858 0.00325943 0.02077262 0.01123331
0.01005924 0.00667331 0.01206981 0.00740942
0.00524055 0.00337840 0.01184294 0.00777842
0.00561686 0.00352934 0.04964187 0.02553066
0.03212730 0.02081090 0.01727196 0.00820156
0.01558758 0.00908580 0.01688627 0.01050200
0.01057096 0.00628181 0.01597614 0.00762955
0.01214018 0.00666786 0.02096638 0.01237584
0.00876213 0.00505983 0.06691295 0.03144023
0.02083993 0.01181237 0.02328382 0.01336007
0.01369597 0.00771202 0.02337212 0.01492283
0.01614073 0.00963168 0.01787698 0.00708599
0.01105818 0.00587053 0.01947392 0.00847043
0.01523204 0.00841615 0.01920780 0.00781067
0.00955378 0.00575708 0.03900035 0.01638403
0.01922422 0.00919669 0.05068564 0.02489978
0.02418456 0.01282300 0.01843880 0.01222790
0.01101181 0.00513140 0.02979319 0.01236194
0.02072088 0.01178200 0.01759188 0.00938705
0.00696862 0.00405921 0.01281116 0.00708742
0.01055572 0.00470088 0.02098249 0.00861258
0.00787487 0.00334267 0.03217965 0.01592628
0.02727493 0.01600503 0.02417709 0.01306585
0.01592067 0.00767816 0.02628600 0.00869403
0.01034037 0.00500289 0.01250368 0.00500194
0.00757554 0.00321475 0.02398532 0.00958083
0.01048361 0.00501435 0.02147003 0.01234693
0.00626226 0.00294953 0.01547744 0.00787957
0.00815869 0.00392618 0.03222357 0.01253458
0.01855911 0.00871157 0.01827478 0.00778357
0.01094452 0.00514034 0.03294656 0.01416634
0.03142740 0.01675532 0.02683101 0.01079221
0.01185012 0.00555661 0.02144428 0.00706724
0.00919846 0.00454559 0.01873075 0.00720853
0.00790152 0.00389119 0.06714713 0.02129091
0.04300494 0.02331663 0.01670361 0.00959604
0.02341774 0.01442378 0.01790425 0.00898290
0.01956262 0.01046453 0.02658800 0.01069493
0.03685768 0.01751608 0.02220419 0.00972851
0.02297650 0.01125181 0.03287660 0.01299562
0.01775357 0.00836115 0.03923579 0.01004461
0.01886019 0.00822677 0.02652927 0.01025610
0.02435524 0.01061018 0.03348977 0.00839378
0.01345042 0.00595200 0.02274690 0.00669970
0.01536809 0.00741812 0.03183503 0.00764595
0.01178262 0.00514385 0.02088281 0.01043604
0.01688384 0.00966521 0.02987962 0.01204506
0.02769294 0.01317416 0.03305977 0.01051247
0.01186932 0.00515700 0.02965185 0.00993885
0.00984954 0.00388932 0.02088820 0.00882636
0.02132832 0.01022306 0.02676359 0.01007357
0.02524021 0.01193882 0.03004936 0.00950829
0.01615226 0.00748983 0.02594578 0.00934689
0.01732129 0.00786225 0.02974423 0.00619622
0.01980714 0.00769538 0.03729925 0.01019955
0.01276675 0.00583596 0.06568830 0.01670074
0.03966067 0.01973825 0.02283937 0.00826730
0.03554830 0.01603221 0.03108422 0.00854627
0.02661655 0.01233958 0.17190858 0.03122478
0.05118386 0.02529748 0.03021159 0.01101509
0.03111112 0.01611395 0.03340789 0.00868144
0.02896661 0.01390397 0.02751418 0.01113443
0.02929760 0.01358001 0.02458200 0.00748697
0.02533842 0.01089939 0.03520242 0.01098486
0.04278302 0.01890020 0.03333011 0.00796650
0.02171956 0.00859594 0.04019956 0.01796042
0.04571222 0.02172422 0.02873859 0.00536784
0.02854423 0.01307853 0.03517917 0.00518185
0.02366742 0.01054643 0.02980729 0.00603995
0.02079661 0.00870500 0.03288142 0.00694454
0.02360590 0.00929300 0.09156687 0.02095267
0.06181613 0.02995048 0.03606949 0.01270239
0.04676383 0.02383668 0.04954513 0.03621121
0.05023476 0.02503392 0.04463204 0.01163684
0.03947261 0.01846912 0.05277717 0.01927084
0.05831228 0.02651570 0.03802803 0.01077689
0.04021797 0.01792755 0.04125196 0.00737173
0.03723009 0.01604446 0.04355922 0.01117584
0.03442238 0.01554440 0.04246535 0.01023799
0.03609728 0.01497429 0.03848970 0.00832249
0.02753748 0.01229323 0.04310239 0.00789491
0.02546149 0.01064559 0.03693170 0.01692878
0.04504723 0.02052906 0.05743278 0.00580966
0.02707681 0.01188023 0.04518215 0.00758043
0.02701725 0.01092095 0.04253620 0.00885268
0.02520457 0.01077159 0.04642380 0.00719342
0.02576011 0.01119519 0.20064913 0.01954563
0.06335794 0.03079608 0.03647731 0.01515334
0.04777793 0.02372604 0.04390377 0.01114853
0.04249489 0.02056381 0.08352753 0.02263921
0.05062201 0.02306091 0.03254985 0.00883201
0.03736955 0.01748308 0.03550710 0.00772403
0.03480961 0.01593175 0.03714966 0.01109033
0.05242803 0.02453418 0.03484531 0.01447626
0.04342074 0.02041101 0.03038179 0.01162785
0.03994032 0.01854003 0.03830579 0.00845301
0.03553577 0.01593321 0.03871381 0.00744910
0.03503065 0.01551462 0.06580908 0.01930749
0.03669912 0.01668444 0.06161155 0.01512230
0.05233257 0.02384762 0.04263825 0.00817069
0.03701110 0.01608367 0.04083612 0.00767737
0.03154366 0.01387720 0.03578457 0.01740605
0.03495571 0.01540981 0.04098287 0.00965368
0.03806692 0.01717355 0.03761698 0.01069913
0.04173091 0.01818424 0.10519920 0.03351025
